role,estimator,spec,treatment,sample,outcome,units,att,se,note,source,on_primary
diagnostic,CDH,dropping Tucumán,combined >=50%,estimation sample less Tucumán,mathematics,SD (anchored 2016 scale),0.0268,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,exclude 2023 cohort (full waves),combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",language,SD (anchored 2016 scale),0.021,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,exclude 2023 cohort (full waves),combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0309,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0399,0.0124,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),-0.0601,0.0148,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0166,0.0154,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),0.0239,0.0176,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0373,0.013,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),-0.0719,0.0156,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0399,0.0134,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),-0.0846,0.0164,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0149,0.0176,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),0.026,0.0199,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 1 year,language,SD (anchored 2016 scale),-0.0399,0.0138,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 1 year (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 1 year,mathematics,SD (anchored 2016 scale),-0.1087,0.0172,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),0.011,0.0217,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),-0.017,0.0269,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),0.0449,0.023,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),0.0211,0.0295,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),-0.0137,0.0242,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),-0.0281,0.0283,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),0.022,0.0259,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),-0.0191,0.0315,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),0.0553,0.0239,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),0.0328,0.03,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 2 years,language,SD (anchored 2016 scale),-0.0182,0.0281,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 2 years (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 2 years,mathematics,SD (anchored 2016 scale),-0.0528,0.0316,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),-0.032,0.0143,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, five censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),-0.0637,0.0171,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),-0.0039,0.0171,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, six waves)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),-0.0066,0.0211,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),-0.0602,0.0171,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (1 horizon, three censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),-0.1032,0.0202,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),-0.0185,0.0137,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, five censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),-0.0597,0.0167,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),0.0155,0.0173,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, six waves)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),0.0229,0.0218,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,language,SD (anchored 2016 scale),-0.0419,0.0159,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"first spell 3 or more years (2 horizons, three censuses)",combined >=50%,switchers whose first spell lasts 3 or more years,mathematics,SD (anchored 2016 scale),-0.1029,0.0191,"descriptive across classes, NOT a dose-response: spell length is realised after adoption",06p_spell_length_estimates.csv,TRUE
diagnostic,CDH,"full (6 waves, headline)",combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",language,SD (anchored 2016 scale),0.0147,,same as main,06c_covid_robustness.csv,TRUE
diagnostic,CDH,"full (6 waves, headline)",combined >=50%,"waves: 2016,2018,2021,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0277,,same as main,06c_covid_robustness.csv,TRUE
diagnostic,CDH,non-reverting subsample,combined >=50%,non-reverting schools,language,SD (anchored 2016 scale),0.0254,0.0172,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,TRUE
diagnostic,CDH,non-reverting subsample,combined >=50%,non-reverting schools,mathematics,SD (anchored 2016 scale),0.0632,0.0213,"conditions on post-treatment behaviour, i.e. selection",11_nonreverter_results.csv,TRUE
diagnostic,CDH,outcome calendar: five censuses (1 horizon),combined >=50%,waves: five censuses,language,SD (anchored 2016 scale),-0.0272,0.009,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: five censuses (1 horizon),combined >=50%,waves: five censuses,mathematics,SD (anchored 2016 scale),-0.0532,0.0108,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: five censuses (2 horizons),combined >=50%,waves: five censuses,language,SD (anchored 2016 scale),-0.021,0.0094,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: five censuses (2 horizons),combined >=50%,waves: five censuses,mathematics,SD (anchored 2016 scale),-0.0633,0.0115,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: five censuses (2 horizons, pupil-weighted)",combined >=50%,waves: five censuses,language,SD (anchored 2016 scale),0.0105,0.0066,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: five censuses (2 horizons, pupil-weighted)",combined >=50%,waves: five censuses,mathematics,SD (anchored 2016 scale),-0.0285,0.0082,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: five censuses (2 horizons, same switchers)",combined >=50%,waves: five censuses,language,SD (anchored 2016 scale),-0.0256,0.0105,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: five censuses (2 horizons, same switchers)",combined >=50%,waves: five censuses,mathematics,SD (anchored 2016 scale),-0.0737,0.0129,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: six waves (1 horizon),combined >=50%,waves: six waves,language,SD (anchored 2016 scale),0.0033,0.0106,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: six waves (1 horizon),combined >=50%,waves: six waves,mathematics,SD (anchored 2016 scale),0.0118,0.0129,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: six waves (2 horizons),combined >=50%,waves: six waves,language,SD (anchored 2016 scale),0.0147,0.0114,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: six waves (2 horizons),combined >=50%,waves: six waves,mathematics,SD (anchored 2016 scale),0.0277,0.0139,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: six waves (2 horizons, pupil-weighted)",combined >=50%,waves: six waves,language,SD (anchored 2016 scale),0.0134,0.0088,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: six waves (2 horizons, pupil-weighted)",combined >=50%,waves: six waves,mathematics,SD (anchored 2016 scale),0.0198,0.0104,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: six waves (2 horizons, same switchers)",combined >=50%,waves: six waves,language,SD (anchored 2016 scale),0.0225,0.0157,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: six waves (2 horizons, same switchers)",combined >=50%,waves: six waves,mathematics,SD (anchored 2016 scale),0.0435,0.0191,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: three censuses (1 horizon),combined >=50%,waves: three censuses,language,SD (anchored 2016 scale),-0.0415,0.0101,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: three censuses (1 horizon),combined >=50%,waves: three censuses,mathematics,SD (anchored 2016 scale),-0.0754,0.012,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: three censuses (2 horizons),combined >=50%,waves: three censuses,language,SD (anchored 2016 scale),-0.0375,0.0103,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,outcome calendar: three censuses (2 horizons),combined >=50%,waves: three censuses,mathematics,SD (anchored 2016 scale),-0.0984,0.0126,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: three censuses (2 horizons, pupil-weighted)",combined >=50%,waves: three censuses,language,SD (anchored 2016 scale),0.0026,0.0067,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
diagnostic,CDH,"outcome calendar: three censuses (2 horizons, pupil-weighted)",combined >=50%,waves: three censuses,mathematics,SD (anchored 2016 scale),-0.0546,0.0087,"changes which waves enter, which re-dates adoption and re-spaces event time; the sign of the ATT depends on it",06n_calendar_estimates.csv,TRUE
